English element name	atomic symbol	atomic #	German element name	French element name	Spanish element name	Italian element name	atomic mass (NIST 2016)	Metallic (astrophisics)
hydrogen	H	1	Wasserstoff	hydrogène	hidrógeno	idrogeno	1,0078250321	False
Deuterium	H_2	1_2	Deuterium	deutérium	deuterio	deuterio	2,0141017780	False
helium	He	2	Helium	hélium	helio	elio	4,0026032497	False
Helium_3	He_3	2_3	Helium_3	Hélium_3	Helio_3	Elio_3	3,0160293100	False
lithium	Li	3	Lithium	lithium	litio	litio	7,0160040000	True
carbon	C	6	Kohlenlstoff	carbone	carbono	carbonio	12,0000000000	True
carbon_13	C_13	6_13	Kohlenlstoff_13	Carbone_13	Carbono_13	Carbonio_13	13,0033548378	True
nitrogen	N	7	Stickstoff	azote	nitrógeno	azoto	14,0030740052	True
Nitrogen_15	N_15	7_15	Stickstoff_15	Azote_15	Nitrógeno_15	Azoto_15	15,0001088984	True
oxygen	O	8	Sauerstoff	oxygène	oxígeno	ossigeno	15,9949146221	True
Oxygen_17	O_17	8_17	Sauerstoff_17	Oxygène_17	Oxígeno_17	Ossigeno_17	16,9991315000	True
oxygen_18	O_18	8_18	Sauerstoff_18	Oxygène_18	Oxígeno_18	Ossigeno_18	17,9991604000	True
fluorine	F	9	Fluor	fluor	flúor	fluoro	18,9984032000	True
sodium	Na	11	Natrium	sodium	sodio	sodio	22,9897696700	True
magnesium	Mg	12	Magnesium	magnésium	magnesio	magnesio	23,9850419000	True
aluminum	Al	13	Aluminium	aluminium	aluminio	alluminio	26,9815384400	True
silicon	Si	14	Silizium	silicium	silicio	silicio	27,9769265327	True
sulfur	S	16	Schwefel	soufre	azufre	zolfo	31,9720706900	True
potassium	K	19	Kalium	potassium	potasio	potassio	38,9637069000	True
calcium	Ca	20	Kalzium	calcium	calcio	calcio	39,9625912000	True
scandium	Sc	21	Skandium	scandium	escandio	scandio	44,9559102000	True
titanium	Ti	22	Titan	titane	titanio	titanio	47,9479471000	True
vanadium	V	23	Vanadium	vanadium	vanadio	vanadio	50,9439637000	True
chromium	Cr	24	Chrom	chrome	cromo	cromo	51,9405119000	True
manganese	Mn	25	Mangan	manganèse	manganeso	manganese	54,9380496000	True
iron	Fe	26	Eisen	fer	hierro	ferro	55,9349421000	True
cobalt	Co	27	Kobalt	cobalt	cobalto	cobalto	58,9332002000	True
nickel	Ni	28	Nickel	nickel	níquel	nichelio	57,9353479000	True
copper	Cu	29	Kupfer	cuivre	cobre	rame	62,9296011000	True
zinc	Zn	30	Zink	zinc	zinc	zinco	63,9291466000	True
europium	Eu	63	Europium	europium	europio	europio	152,9212260000	True
